tool_name,test_round,time_to_deploy_ms,time_to_rollback_ms,resource_overhead_mb,cpu_utilization_percent,successfull_run,caught_type_mismatch,caught_invalid_port,caught_missing_image,caught_typo_field
helm_tool,1,2504,4272,62,25,true,true,true,true,false
helm_tool,2,2524,4263,58,27,true,true,true,true,false
helm_tool,3,2518,4285,59,27,true,true,true,true,false
helm_tool,4,2512,4251,59,27,true,true,true,true,false
helm_tool,5,2511,4276,62,25,true,true,true,true,false
helm_tool,6,2582,4295,59,26,true,true,true,true,false
helm_tool,7,2570,4343,59,27,true,true,true,true,false
helm_tool,8,2509,4287,61,27,true,true,true,true,false
helm_tool,9,2531,4290,58,27,true,true,true,true,false
helm_tool,10,2517,4275,59,27,true,true,true,true,false
kustomize_tool,1,1800,3050,80,75,true,true,true,true,true
kustomize_tool,2,1680,3009,80,79,true,true,true,true,true
kustomize_tool,3,1688,3017,77,82,true,true,true,true,true
kustomize_tool,4,1687,3048,74,80,true,true,true,true,true
kustomize_tool,5,1866,3005,75,74,true,true,true,true,true
kustomize_tool,6,1602,3055,80,85,true,true,true,true,true
kustomize_tool,7,1654,3056,85,82,true,true,true,true,true
kustomize_tool,8,1812,3036,80,75,true,true,true,true,true
kustomize_tool,9,2570,3032,81,53,true,true,true,true,true
kustomize_tool,10,2494,4461,79,55,true,true,true,true,true
timoni_tool,1,5441,5403,53,8,true,true,true,true,true
timoni_tool,2,5447,5408,52,8,true,true,true,true,true
timoni_tool,3,5447,5400,53,9,true,true,true,true,true
timoni_tool,4,5435,5392,52,9,true,true,true,true,true
timoni_tool,5,5445,5405,53,8,true,true,true,true,true
timoni_tool,6,5436,5403,53,9,true,true,true,true,true
timoni_tool,7,5440,5423,53,9,true,true,true,true,true
timoni_tool,8,5441,5410,53,8,true,true,true,true,true
timoni_tool,9,5436,5412,52,8,true,true,true,true,true
timoni_tool,10,5438,15392,53,8,true,true,true,true,true
cdk8s_tool,1,15670,22136,264,48,true,true,true,true,true
cdk8s_tool,2,23564,22133,263,73,true,true,true,true,true
cdk8s_tool,3,21113,22121,264,74,true,true,true,true,true
cdk8s_tool,4,21083,22130,263,70,true,true,true,true,true
cdk8s_tool,5,16065,22126,264,55,true,true,true,true,true
cdk8s_tool,6,20019,22117,264,59,true,true,true,true,true
cdk8s_tool,7,20022,22141,264,67,true,true,true,true,true
cdk8s_tool,8,21120,22125,263,72,true,true,true,true,true
cdk8s_tool,9,20063,22119,263,71,true,true,true,true,true
cdk8s_tool,10,23036,22123,262,69,true,true,true,true,true
